Designator,Mid X,Mid Y,Rotation,Layer
C1,80.3,-125.05,90.0,bottom
C10,71.0,-91.9,0.0,bottom
C11,80.7,-92.4,180.0,bottom
C12,77.7,-107.0,90.0,bottom
C13,80.8,-103.4,180.0,bottom
C2,83.9,-119.6,90.0,bottom
C3,104.7,-95.0,180.0,bottom
C35,76.0,-119.0,90.0,top
C36,78.05,-112.0,0.0,top
C37,74.0,-123.0,90.0,top
C4,88.2,-119.2,90.0,bottom
C5,69.8,-100.9,0.0,bottom
C50,71.9,-119.0,270.0,top
C52,64.0,-126.0,0.0,top
C53,78.0,-115.0,0.0,top
C6,105.0,-109.0,180.0,bottom
C7,104.95,-101.1,180.0,bottom
C8,98.0,-119.5,0.0,top
C9,71.0,-94.0,0.0,bottom
D1,84.0,-112.1375,90.0,top
D2,94.25,-128.39,270.0,bottom
D3,64.0,-129.0,0.0,top
D4,80.2,-129.7,270.0,bottom
D5,97.9,-112.2,0.0,top
D6,105.0,-95.0,0.0,top
D7,105.0,-101.0,0.0,top
D8,105.0,-107.0,0.0,top
J1,85.0,-134.55,180.0,top
J2,66.0,-134.55,180.0,top
J5,105.95,-116.32,90.0,top
J7,97.0,-134.55,180.0,top
L2,71.0,-112.0,0.0,top
R1,84.1,-106.6,270.0,bottom
R10,93.1,-124.0,0.0,bottom
R11,97.65,-128.49,270.0,bottom
R12,91.05,-128.49,270.0,bottom
R13,71.6,-97.5,270.0,bottom
R14,63.0,-107.9,90.0,bottom
R15,62.5,-101.5,270.0,bottom
R16,64.4,-101.5,270.0,bottom
R17,104.7,-92.3,180.0,bottom
R2,80.7,-94.4,180.0,bottom
R3,97.4,-95.0,0.0,bottom
R4,64.6,-113.0,180.0,bottom
R5,80.7,-99.9,0.0,bottom
R6,84.9,-138.1,0.0,bottom
R67,74.0,-119.0,270.0,top
R7,74.0,-109.0,270.0,bottom
R8,105.95,-115.0,180.0,bottom
R83,78.1,-119.0,270.0,top
R84,76.0,-123.0,270.0,top
R85,68.6,-126.1,0.0,top
R9,106.0,-117.0,180.0,bottom
SW1,67.2,-103.4,0.0,top
U1,84.94,-97.0,0.0,top
U2,80.8,-107.0,270.0,top
U3,84.8,-127.0,180.0,top
U4,68.5,-106.9,90.0,bottom
U5,93.0,-118.6,180.0,bottom
U6,97.5,-116.3,0.0,top
U9,67.0,-120.0,0.0,top
